,Model,Dataset,Fold,Score,Metric
283,Natural,banknote-authentication,1,0.8836363636363637,adversarial accuracy
284,Natural,banknote-authentication,2,0.948905109489051,accuracy
285,Natural,banknote-authentication,2,0.9379562043795621,adversarial accuracy
286,Natural,banknote-authentication,3,0.9890510948905109,accuracy
287,Natural,banknote-authentication,3,0.9708029197080292,adversarial accuracy
288,Natural,banknote-authentication,4,0.9598540145985401,accuracy
289,Natural,banknote-authentication,4,0.948905109489051,adversarial accuracy
290,Natural,blood-transfusion,0,0.7933333333333333,accuracy
291,Natural,blood-transfusion,0,0.7933333333333333,adversarial accuracy
292,Natural,blood-transfusion,1,0.7733333333333333,accuracy
293,Natural,blood-transfusion,1,0.7733333333333333,adversarial accuracy
294,Natural,blood-transfusion,2,0.78,accuracy
295,Natural,blood-transfusion,2,0.78,adversarial accuracy
296,Natural,blood-transfusion,3,0.785234899328859,accuracy
297,Natural,blood-transfusion,3,0.785234899328859,adversarial accuracy
298,Natural,blood-transfusion,4,0.7114093959731543,accuracy
299,Natural,blood-transfusion,4,0.7114093959731543,adversarial accuracy
300,Natural,breast-cancer,0,0.9210526315789473,accuracy
301,Natural,breast-cancer,0,0.19298245614035092,adversarial accuracy
302,Natural,breast-cancer,1,0.9298245614035088,accuracy
303,Natural,breast-cancer,1,0.4298245614035088,adversarial accuracy
304,Natural,breast-cancer,2,0.9385964912280702,accuracy
305,Natural,breast-cancer,2,0.4298245614035088,adversarial accuracy
306,Natural,breast-cancer,3,0.9649122807017544,accuracy
307,Natural,breast-cancer,3,0.2807017543859649,adversarial accuracy
308,Natural,breast-cancer,4,0.8938053097345132,accuracy
309,Natural,breast-cancer,4,0.37168141592920356,adversarial accuracy
310,Natural,climate-model-simulation,0,0.9074074074074074,accuracy
311,Natural,climate-model-simulation,0,0.6759259259259259,adversarial accuracy
312,Natural,climate-model-simulation,1,0.8703703703703703,accuracy
313,Natural,climate-model-simulation,1,0.7685185185185185,adversarial accuracy
314,Natural,climate-model-simulation,2,0.8981481481481481,accuracy
315,Natural,climate-model-simulation,2,0.7685185185185185,adversarial accuracy
316,Natural,climate-model-simulation,3,0.9166666666666666,accuracy
317,Natural,climate-model-simulation,3,0.7685185185185185,adversarial accuracy
318,Natural,climate-model-simulation,4,0.9351851851851852,accuracy
319,Natural,climate-model-simulation,4,0.7592592592592593,adversarial accuracy
320,Natural,cylinder-bands,0,0.6607142857142857,accuracy
